id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
3656,Misjid Al Fajri Karas,0.0,0,0,,[],"Q83C+55H, Karas, Galang, Batam City, Riau Islands, Indonesia",[],,0.7529458,104.3204869,https://www.google.com/maps/place/Misjid+Al+Fajri+Karas/data=!4m7!3m6!1s0x31d909edb8385571:0x886254bcb9cf3c4f!8m2!3d0.7529458!4d104.3204869!16s%2Fg%2F11fn98bng3!19sChIJcVU4uO0J2TERTzzPubxUYog?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5018,Berempah Batam,4.0,2,0,,[],"42X7+974, Kampung Seraya, Batu Ampar, Batam City, Riau Islands 29444, Indonesia",[],,1.1482807,104.0131909,https://www.google.com/maps/place/Berempah+Batam/data=!4m7!3m6!1s0x31d9895d57cdfb17:0x1bffa0dc035ab4dc!8m2!3d1.1482807!4d104.0131909!16s%2Fg%2F11scycfy9m!19sChIJF_vNV12J2TER3LRaA9yg_xs?authuser=0&hl=en&rclk=1,0.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5020,Kedai Pak De Seraya,0.0,0,0,,[],"5228+2RC, Jl. Seruni, Kp. Seraya, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.1500624,104.0170062,https://www.google.com/maps/place/Kedai+Pak+De+Seraya/data=!4m7!3m6!1s0x31d98999283efdc9:0x9260dafc03bc022d!8m2!3d1.1500624!4d104.0170062!16s%2Fg%2F11h890tcr_!19sChIJyf0-KJmJ2TERLQK8A_zaYJI?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5021,Kampung Seraya,5.0,1,0,,[],"NAGOYA GARDEN II, Blk. C No.17, Kp. Seraya, Kec. Batu Ampar, Kota Batam, Indonesia",[],,1.1532903,104.02484,https://www.google.com/maps/place/Kampung+Seraya/data=!4m7!3m6!1s0x31d9899cc89018db:0x7ab0090efd01fb8b!8m2!3d1.1532903!4d104.02484!16s%2Fg%2F11t6kpmj5z!19sChIJ2xiQyJyJ2TERi_sB_Q4JsHo?authuser=0&hl=en&rclk=1,5.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5402,Saiful Kuliner,0.0,0,0,,[],"239F+GFQ, Kabil, Nongsa, Batam City, Riau Islands, Indonesia",[],,1.0188263,104.0737296,https://www.google.com/maps/place/Saiful+Kuliner/data=!4m7!3m6!1s0x31d9915505204865:0x4c580f757c899085!8m2!3d1.0188263!4d104.0737296!16s%2Fg%2F11kj5n2rsb!19sChIJZUggBVWR2TERhZCJfHUPWEw?authuser=0&hl=en&rclk=1,0.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5405,Pusat Kuliner Jasinta,0.0,0,0,,[],"349F+MJG, Kabil, Nongsa, Batam City, Riau Islands 29467, Indonesia",[],,1.0692617,104.1240588,https://www.google.com/maps/place/Pusat+Kuliner+Jasinta/data=!4m7!3m6!1s0x31d9850062e8afc3:0x1fe0717f70a84ca9!8m2!3d1.0692617!4d104.1240588!16s%2Fg%2F11y2jt4lc8!19sChIJw6_oYgCF2TERqUyocH9x4B8?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5408,Zahra Kuliner,0.0,0,0,,[],"239F+P94, Kabil, Nongsa, Batam City, Riau Islands, Indonesia",[],,1.0192686,104.0734654,https://www.google.com/maps/place/Zahra+Kuliner/data=!4m7!3m6!1s0x31d9912946c19137:0x85ba4a5e3b2c574b!8m2!3d1.0192686!4d104.0734654!16s%2Fg%2F11txqm0jfk!19sChIJN5HBRimR2TERS1csO15KuoU?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5419,RedDoorz   Hokkie Hotel Punggur Batam,4.3,4,0,,[],"Jl. Patimura, Kabil, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29467, Indonesia",[],+62 21 80629666,1.0628326,104.1184705,https://www.google.com/maps/place/RedDoorz+@+Hokkie+Hotel+Punggur+Batam/data=!4m10!3m9!1s0x31d98594f2849a99:0x4ed24792fd0116ad!5m2!4m1!1i2!8m2!3d1.0628326!4d104.1184705!16s%2Fg%2F11j94kf7t9!19sChIJmZqE8pSF2TERrRYB_ZJH0k4?authuser=0&hl=en&rclk=1,5.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5426,Hokkie Hotel - Batam Kabil Punggur,4.2,468,0,,[],"Jl. Patimura, Kabil, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29467, Indonesia",[],,1.0632466,104.122324,https://www.google.com/maps/place/Hokkie+Hotel+-+Batam+Kabil+Punggur/data=!4m10!3m9!1s0x31d985755b2b60ed:0xf2cf40ccc0198131!5m2!4m1!1i2!8m2!3d1.0632466!4d104.122324!16s%2Fg%2F11gf3fz87s!19sChIJ7WArW3WF2TERMYEZwMxAz_I?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5464,Warung elis,0.0,0,0,,[],"2WHW+VGM, Lekop River, Sagulung, Batam City, Riau Islands 29425, Indonesia",[],,1.029714,103.9463051,https://www.google.com/maps/place/Warung+elis/data=!4m7!3m6!1s0x31d98df6e46db90d:0x31fd3e7c8de1d251!8m2!3d1.029714!4d103.9463051!16s%2Fg%2F11s2hw3t96!19sChIJDblt5PaN2TERUdLhjXw-_TE?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
5958,Warunk Mbah Uti (Special Nasi Uduk & Sate Senayan),0.0,0,0,,[],"Area Food Court Tiban Center Nomor 12, Tiban Indah, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia",[],+62 812-1141-2145,1.1127118,103.9795992,https://www.google.com/maps/place/Warunk+Mbah+Uti+%28Special+Nasi+Uduk+%26+Sate+Senayan%29/data=!4m7!3m6!1s0x31d98b1b54e25797:0x16d0458a29d6ca45!8m2!3d1.1127118!4d103.9795992!16s%2Fg%2F11khbvlsmv!19sChIJl1fiVBuL2TERRcrWKYpF0BY?authuser=0&hl=en&rclk=1,0.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
6048,Wisata Kuliner Tiban Centre,4.4,1,2,,[],"Ratu salad batam wisata kuliner tiban centre, Jl. Gajah Mada No.17, RW.3, Tiban Indah, Kec. Sekupang, Kota Batam, Kepulauan Riau 29422, Indonesia",[],+62 812-2909-9959,1.1126764,103.9794201,https://www.google.com/maps/place/Wisata+Kuliner+Tiban+Centre/data=!4m7!3m6!1s0x31d98b92399839ef:0xf9c6c2d0fc630310!8m2!3d1.1126764!4d103.9794201!16s%2Fg%2F11cn8shmq4!19sChIJ7zmYOZKL2TEREANj_NDCxvk?authuser=0&hl=en&rclk=1,0.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7346,Soto Seger Ayam Kampung BATU BESAR,4.8,27,1,,[],"Jl. Hang Jebat No.84, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia",[],+62 852-4940-6637,1.1552961,104.1279957,https://www.google.com/maps/place/Soto+Seger+Ayam+Kampung+BATU+BESAR/data=!4m7!3m6!1s0x31d987be6903ef55:0x720a900e5b47b489!8m2!3d1.1552961!4d104.1279957!16s%2Fg%2F11gglt4vw1!19sChIJVe8Dab6H2TERibRHWw6QCnI?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7348,Resto Bebek Bakar Batu,4.2,76,2,,[],"44Q6+5W9, Ruko Mega Techno City Centre Hangnadim, Batu Besar, Nongsa, Batam City, Riau Islands 29465, Indonesia",[],+62 813-7241-8969,1.1379206,104.1123697,https://www.google.com/maps/place/Resto+Bebek+Bakar+Batu/data=!4m7!3m6!1s0x31d98632b21e62b1:0xeebf158a106b05fc!8m2!3d1.1379206!4d104.1123697!16s%2Fg%2F11f3c1wrqy!19sChIJsWIesjKG2TER_AVrEIoVv-4?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7973,Seafood Rumah Makan (Seafood restaurant),0.0,0,0,,,"Pasar Bengkong Harapan No. 160 A, JL Cendrawasih, No. 1, Bengkong Harapan, Bengkong, Batam, 29457","[{""day"": ""Tuesday"", ""hours"": ""10:00 - 18:00""}, {""day"": ""Wednesday"", ""hours"": ""10:00 - 18:00""}, {""day"": ""Thursday"", ""hours"": ""10:00 - 18:00""}, {""day"": ""Friday"", ""hours"": ""10:00 - 18:00""}, {""day"": ""Saturday"", ""hours"": ""10:00 - 18:00""}, {""day"": ""Sunday"", ""hours"": ""10:00 - 15:00""}, {""day"": ""Monday"", ""hours"": ""10:00 - 18:00""}]",0877-9122-0529,1.143511,104.036361,https://www.google.com/maps/place/Seafood+Rumah+Makan/data=!4m7!3m6!1s0x31d989a400eda0b3:0xae2126c837fc8dff!8m2!3d1.143511!4d104.036361!16s%2Fg%2F11bc7p93mx!19sChIJs6DtAKSJ2TER_438N8gmIa4?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7982,Taruno (Restaurant),0.0,0,0,,,"Jl. Bengkong Harapan 1 Blok K, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29432","[{""day"": ""Tuesday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Wednesday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Thursday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Friday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Saturday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Sunday"", ""hours"": ""09:30 - 23:00""}, {""day"": ""Monday"", ""hours"": ""09:30 - 23:00""}]",0812-7099-2211,1.1509589,104.02659,https://www.google.com/maps/place/Taruno/data=!4m7!3m6!1s0x31d98996ef610265:0xfcbca451fbac0def!8m2!3d1.1509589!4d104.02659!16s%2Fg%2F11b7qr3n82!19sChIJZQJh75aJ2TER7w2s-1GkvPw?authuser=0&hl=en&rclk=1,0.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7983,Bakso hitam gg (Bakso restaurant),0.0,0,0,,,"Jl. Bengkong Harapan 1 No.14 Blok E, Bengkong Laut, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444",[object Object],0821-7750-5066,1.1520612,104.0259171,https://www.google.com/maps/place/Bakso+hitam+gg/data=!4m7!3m6!1s0x31d9890177ef5c0f:0xd80310830355b96f!8m2!3d1.1520612!4d104.0259171!16s%2Fg%2F11jvpbzky3!19sChIJD1zvdwGJ2TERb7lVA4MQA9g?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7984,Krusty Dunk (Restaurant),0.0,0,0,,,"Kampung harapan swadya, Sadai, Kec. Bengkong, Kota Batam, Kepulauan Riau 24594","[{""day"": ""Tuesday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Wednesday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Thursday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Friday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Saturday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Sunday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Monday"", ""hours"": ""08:00 - 22:00""}]",0812-6195-3374,1.136505,104.0372637,https://www.google.com/maps/place/Krusty+Dunk/data=!4m7!3m6!1s0x31d9897df10d3463:0xe96955a3fb259f42!8m2!3d1.136505!4d104.0372637!16s%2Fg%2F11s7zwnr09!19sChIJYzQN8X2J2TERQp8l-6NVaek?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7985,Eda Medan (Indonesian restaurant),0.0,0,0,,,"Taman Harapan Indah, Blk. D No.14, Tj. Buntung, Kec. Bengkong, Kota Batam, Kepulauan Riau 29432",[object Object],0822-8466-9794,1.1651414,104.02803,https://www.google.com/maps/place/Eda+Medan/data=!4m7!3m6!1s0x31d98909d9476b51:0x95e7b12bdde8f2b3!8m2!3d1.1651414!4d104.02803!16s%2Fg%2F11swb4rths!19sChIJUWtH2QmJ2TERs_Lo3Sux55U?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7988,Kedai Kopi Tembilahan (Breakfast restaurant),0.0,0,0,,,"Jl. Bengkong Harapan 1 No.10 Blok K, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444","[{""day"": ""Tuesday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Wednesday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Thursday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Friday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Saturday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Sunday"", ""hours"": ""06:00 - 23:00""}, {""day"": ""Monday"", ""hours"": ""06:00 - 23:00""}]",0821-6900-6397,1.151708,104.0288135,https://www.google.com/maps/place/Kedai+Kopi+Tembilahan/data=!4m7!3m6!1s0x31d9891b73770bd9:0xe480b914601d37fb!8m2!3d1.151708!4d104.0288135!16s%2Fg%2F11vwvwwjy9!19sChIJ2Qt3cxuJ2TER-zcdYBS5gOQ?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7989,Jingga Corp (Diner),0.0,0,0,,,"Jl. Bengkong Harapan II No.150 blok O, RT.02/RW.09, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29458",[object Object],0812-7707-1130,1.1511656,104.0331816,https://www.google.com/maps/place/Jingga+Corp/data=!4m7!3m6!1s0x31d98928bffe8615:0xf237efb5535c7fef!8m2!3d1.1511656!4d104.0331816!16s%2Fg%2F11qbcrb_v9!19sChIJFYb-vyiJ2TER739cU7XvN_I?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7991,Pindukuik (Restaurant),0.0,0,0,,,"Pasar bengkong harapan, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444",[object Object],0813-7222-5540,1.1519818,104.0289259,https://www.google.com/maps/place/Pindukuik/data=!4m7!3m6!1s0x31d989cff9b78167:0xae22d5ecfeaa0006!8m2!3d1.1519818!4d104.0289259!16s%2Fg%2F11fpsr8ykt!19sChIJZ4G3-c-J2TERBgCq_uzVIq4?authuser=0&hl=en&rclk=1,2.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
7997,Tumpeng buk Eton Batam (Traditional restaurant),0.0,0,0,,,"Jl. Bengkong Harapan 1 No.36 BLOK M, Bengkong Laut, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444",[object Object],0822-8771-9121,1.153774,104.0277736,https://www.google.com/maps/place/Tumpeng+buk+Eton+Batam/data=!4m7!3m6!1s0x31d9894ff9e09303:0x1c09d84c4d849271!8m2!3d1.153774!4d104.0277736!16s%2Fg%2F11v9z2kv2f!19sChIJA5Pg-U-J2TERcZKETUzYCRw?authuser=0&hl=en&rclk=1,-1.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
8000,Warung Makan Sido Dadi (Restaurant),0.0,0,0,,,"522H+FFF, Jl. Bengkong Harapan 1, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444",[object Object],0813-6434-6474,1.151188,104.0286795,"https://www.google.com/maps/place/Warung+Makan+Sido+Dadi/@1.151188,104.0286795,17z/data=!3m1!4b1!4m6!3m5!1s0x31d989964403aaab:0xfcbfef3e4e0b33e8!8m2!3d1.151188!4d104.0286795!16s%2Fg%2F11bc740d5p?authuser=0&hl=en&entry=ttu",5.0,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,null_required_column
